id,name,tool_type,category,source_domain,source_url,verified_on,verification_status,official_plan_name,billing_axis,free_core_available,price_original,price_original_currency,price_original_period,price_usd,price_eur,annual_price_eur,price_compare_monthly_eur,price_source_text,notes_short,additional_tiers_json,paid_addons_json,monthly_public_price_original,currency,monthly_public_price_eur,annual_equivalent_public_price_eur,compare_price_monthly_eur,source_reference,price_compare_note
todoist,Todoist,satellite,organization,todoist.com,https://www.todoist.com/pricing,2026-03-13,official_explicit,Pro,seat,True,5.0,USD,monthly_public,5.0,7.0,5.0,5.0,pricing update effective 2025-12-10 in EUR,"Correction majeure : la V7 gardait un ancien pricing USD converti. En Europe, Todoist Pro est à 7€/mois ou 60€/an.","[{""name"": ""Business"", ""monthly_public_price_eur"": 10.0, ""annual_equivalent_public_price_eur"": 8.0}]",[],5.0,USD,7.0,5.0,5.0,pricing update effective 2025-12-10 in EUR,compare_price_monthly_eur is the normalized monthly comparison price in EUR
obsidian,Obsidian,satellite,organization,obsidian.md,https://obsidian.md/pricing,2026-03-13,official_explicit,Free core,individual_plus_addons,True,5.0,USD,monthly_public,5.0,0.0,0.0,0.0,free core + paid add-ons Sync/Publish,"La V7 traitait Obsidian comme un outil payant via Sync. Pour la comparaison de stack, la base doit rester 0 tant que Sync/Publish ne sont pas explicitement utilisés.",[],"[{""name"": ""Sync"", ""monthly_public_price_eur"": 4.33, ""annual_equivalent_public_price_eur"": 3.46}, {""name"": ""Publish"", ""monthly_public_price_eur"": 8.66, ""annual_equivalent_public_price_eur"": 6.93}]",5.0,USD,0.0,0.0,0.0,free core + paid add-ons Sync/Publish,compare_price_monthly_eur is the normalized monthly comparison price in EUR
make,Make,satellite,automation,make.com,https://www.make.com/en/pricing,2026-03-13,official_explicit,Core,usage,True,9.0,USD,monthly_public,9.0,7.79,,7.79,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],9.0,USD,7.79,,7.79,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
raycast,Raycast,satellite,organization,raycast.com,https://www.raycast.com/pricing,2026-03-13,official_explicit,Pro,individual,True,10.0,USD,monthly_public,10.0,8.66,6.93,6.93,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],10.0,USD,8.66,6.93,6.93,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
superhuman,Superhuman,gestion,communication,help.superhuman.com,https://superhuman.com/help,2026-03-13,official_explicit,Starter,seat,False,30.0,USD,monthly_public,30.0,25.98,21.65,21.65,Starter $30/mo or $300/year,La V7 gardait le prix mensuel mais oubliait l’annualisation. À comparer sur 25$/mois équivalent si abonnement annuel.,"[{""name"": ""Business"", ""monthly_public_price_eur"": 34.64, ""annual_equivalent_public_price_eur"": 28.58}]",[],30.0,USD,25.98,21.65,21.65,Starter $30/mo or $300/year,compare_price_monthly_eur is the normalized monthly comparison price in EUR
linear,Linear,satellite,organization,linear.app,https://linear.app/pricing,2026-03-13,official_explicit,Basic,seat,True,10.0,USD,monthly_public,10.0,8.66,,8.66,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],10.0,USD,8.66,,8.66,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
cal-com,Cal.com,gestion,communication,cal.com,https://cal.com/pricing,2026-03-13,official_explicit,Teams,seat,True,12.0,USD,monthly_public,12.0,10.39,,10.39,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],12.0,USD,10.39,,10.39,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
midjourney,Midjourney,ia,creation,docs.midjourney.com,https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans,2026-03-13,official_explicit,Basic,individual,False,10.0,USD,monthly_public,10.0,8.66,,8.66,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],10.0,USD,8.66,,8.66,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
elevenlabs,ElevenLabs,ia,ai-general,elevenlabs.io,https://elevenlabs.io/pricing,2026-03-13,official_explicit,Starter,usage,True,5.0,USD,monthly_public,5.0,4.33,,4.33,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],5.0,USD,4.33,,4.33,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
clickup,ClickUp,satellite,project-management,clickup.com,https://clickup.com/pricing,2026-03-13,official_explicit,Unlimited,seat,True,7.0,USD,monthly_public,7.0,6.06,,6.06,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],7.0,USD,6.06,,6.06,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
trello,Trello,satellite,project-management,trello.com,https://trello.com/premium,2026-03-13,official_explicit,Premium,seat,True,10.0,USD,monthly_public,10.0,8.66,,8.66,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],10.0,USD,8.66,,8.66,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
airtable,Airtable,satellite,project-management,support.airtable.com,https://support.airtable.com/docs/changes-to-airtable-plans,2026-03-13,official_explicit,Team,seat,True,24.0,USD,monthly_public,24.0,20.78,17.32,17.32,Team $20 annual or $24 monthly; Business $45 annual or $54 monthly,Airtable doit être comparé au niveau Team ou Business selon le vrai usage éditant/collaborateur.,"[{""name"": ""Business"", ""monthly_public_price_eur"": 46.77, ""annual_equivalent_public_price_eur"": 38.97}]",[],24.0,USD,20.78,17.32,17.32,Team $20 annual or $24 monthly; Business $45 annual or $54 monthly,compare_price_monthly_eur is the normalized monthly comparison price in EUR
mailchimp,Mailchimp,satellite,email-productivity,mailchimp.com,https://mailchimp.com/pricing/marketing/compare-plans/,2026-03-13,official_contextual,Essentials,contact_volume,True,13.0,USD,monthly_public,13.0,11.26,,11.26,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],13.0,USD,11.26,,11.26,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
slack,Slack,satellite,communication-team,slack.com,https://slack.com/pricing/pro,2026-03-13,official_explicit,Pro,seat,True,8.75,USD,monthly_public,8.75,7.58,6.28,6.28,Pro $7.25 annual or $8.75 monthly,"Slack se compare proprement en per-active-user, pas comme un forfait fixe.",[],[],8.75,USD,7.58,6.28,6.28,Pro $7.25 annual or $8.75 monthly,compare_price_monthly_eur is the normalized monthly comparison price in EUR
figma,Figma,metier,design-tools,help.figma.com,https://help.figma.com/hc/en-us/articles/27468498501527-Updates-to-Figma-s-pricing-seats-and-billing-experience,2026-03-13,official_explicit,Professional Full seat,seat,True,15.0,EUR,monthly_public,,20.0,16.0,16.0,full seat pricing in EUR; dev/collab seats priced separately,La V7 sous-évaluait Figma en mélangeant probablement dev seat ou ancien tarif. Utiliser 16€/mois annuel pour comparer un vrai siège de création.,"[{""name"": ""Dev seat"", ""monthly_public_price_eur"": 15.0, ""annual_equivalent_public_price_eur"": 12.0}, {""name"": ""Collab seat"", ""monthly_public_price_eur"": 5.0, ""annual_equivalent_public_price_eur"": 3.0}]",[],15.0,EUR,20.0,16.0,16.0,full seat pricing in EUR; dev/collab seats priced separately,compare_price_monthly_eur is the normalized monthly comparison price in EUR
1password,1Password,gestion,security,1password.com,https://1password.com/pricing/password-manager,2026-03-13,official_contextual,Individual,seat,False,3.99,USD,monthly_public,3.99,,3.46,3.46,as little as $48/year individual,"La V7 était trop basse. Le signal officiel exploitable est 48$/an pour l’individuel, soit ~3,46€/mois équivalent.",[],[],3.99,USD,,3.46,3.46,as little as $48/year individual,compare_price_monthly_eur is the normalized monthly comparison price in EUR
toggl,Toggl Track,gestion,productivity-tracking,toggl.com,https://toggl.com/focus/pricing/,2026-03-13,official_contextual,Starter,seat,True,9.0,USD,monthly_public,9.0,7.79,,7.79,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],9.0,USD,7.79,,7.79,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
webflow,Webflow,satellite,nocode-web,webflow.com,https://webflow.com/pricing,2026-03-13,official_explicit,Basic Site plan,site,True,14.0,USD,monthly_public,14.0,12.12,,12.12,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],14.0,USD,12.12,,12.12,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
convertkit,Kit,satellite,email-productivity,kit.com,https://kit.com/pricing,2026-03-13,official_explicit,Creator,contact_volume,True,33.0,USD,monthly_public,33.0,28.58,28.15,28.15,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],33.0,USD,28.58,28.15,28.15,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
asana,Asana,satellite,organization,forum.asana.com,https://forum.asana.com/t/understanding-prior-asana-plan-names-basic-premium-business-enterprise-in-past-forum-posts/606954?page=2,2026-03-13,official_contextual,Starter,seat,True,10.99,USD,monthly_public,10.99,9.52,,9.52,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],10.99,USD,9.52,,9.52,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
basecamp,Basecamp,satellite,organization,basecamp.com,https://basecamp.com/pricing,2026-03-13,official_explicit,Basecamp Plus,hybrid,True,15.0,USD,monthly_public,15.0,12.99,,12.99,Basecamp Plus $15/user/mo; Pro Unlimited $299/mo billed annually or $349/mo monthly,Correction V9 : la V8 gardait encore une lecture trop plate. Il faut distinguer Plus (par utilisateur) et Pro Unlimited (forfait org).,"[{""name"": ""Basecamp Pro Unlimited"", ""monthly_public_price_eur"": 302.23, ""annual_equivalent_public_price_eur"": 258.93}]",[],15.0,USD,12.99,,12.99,Basecamp Plus $15/user/mo; Pro Unlimited $299/mo billed annually or $349/mo monthly,compare_price_monthly_eur is the normalized monthly comparison price in EUR
shopify,Shopify,satellite,nocode-web,shopify.com,https://www.shopify.com/pricing,2026-03-13,official_contextual,Basic,store,False,29.0,USD,monthly_public,29.0,25.11,,25.11,Shopify pricing varies by store location; official page also states 25% annual discount on select plans,"Correction V9 : conserver un prix de comparaison utile, mais signaler que Shopify varie selon la localisation du store et le terme annuel.",[],[],29.0,USD,25.11,,25.11,Shopify pricing varies by store location; official page also states 25% annual discount on select plans,compare_price_monthly_eur is the normalized monthly comparison price in EUR
zapier,Zapier,satellite,automation,zapier.com,https://zapier.com/pricing,2026-03-13,official_explicit,Professional,usage,True,19.99,USD,monthly_public,19.99,17.31,,17.31,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],19.99,USD,17.31,,17.31,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
adobe-photoshop,Adobe Photoshop,metier,design-tools,adobe.com,https://www.adobe.com/fr/products/photoshop/plans.html,2026-03-13,official_explicit,Photoshop single app,seat,False,26.21,EUR,monthly_public,,26.21,26.21,26.21,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],26.21,EUR,26.21,26.21,26.21,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
adobe-illustrator,Adobe Illustrator,metier,design-tools,adobe.com,https://www.adobe.com/fr/products/illustrator.html,2026-03-13,official_explicit,Illustrator single app,seat,False,26.21,EUR,monthly_public,,26.21,26.21,26.21,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],26.21,EUR,26.21,26.21,26.21,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
adobe-premiere-pro,Adobe Premiere Pro,metier,design-tools,adobe.com,https://www.adobe.com/fr/creativecloud/plans.html,2026-03-13,official_explicit,Premiere Pro single app,seat,False,26.21,EUR,monthly_public,,26.21,26.21,26.21,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],26.21,EUR,26.21,26.21,26.21,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
adobe-after-effects,Adobe After Effects,metier,design-tools,adobe.com,https://www.adobe.com/fr/creativecloud/plans.html,2026-03-13,official_explicit,After Effects single app,seat,False,26.21,EUR,monthly_public,,26.21,26.21,26.21,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],26.21,EUR,26.21,26.21,26.21,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
adobe-cc,Adobe Creative Cloud,metier,design-tools,adobe.com,https://helpx.adobe.com/fr/creative-cloud/apps/manage-plans/changes-to-individual-plan.html,2026-03-13,official_explicit,Creative Cloud Pro,bundle,False,78.65,EUR,monthly_public,,78.65,,78.65,French pricing page with intro promo then regular monthly,"La V7 était probablement trop optimiste. Pour un utilisateur FR, le prix public lisible est 39,31€ les 3 premiers mois puis 78,65€/mois.","[{""name"": ""Intro promo"", ""monthly_public_price_eur"": 39.31, ""annual_equivalent_public_price_eur"": null}]",[],78.65,EUR,78.65,,78.65,French pricing page with intro promo then regular monthly,compare_price_monthly_eur is the normalized monthly comparison price in EUR
cursor,Cursor,metier,ai-general,cursor.com,https://cursor.com/help/account-and-billing/pricing,2026-03-13,official_ambiguous_ui,Pro,seat,True,20.0,USD,monthly_public,20.0,17.32,,17.32,pricing page exposes plan tabs; snippet shows Pro at $20 while page view may default to higher Pro+,"Prix Cursor à traiter avec prudence : la page de pricing est dynamique. Garder Pro à $20 comme base minimale, mais signaler l’existence de Pro+ à $60 et Teams à $40/user/mo.","[{""name"": ""Pro+"", ""monthly_public_price_eur"": 51.96, ""annual_equivalent_public_price_eur"": null}, {""name"": ""Teams"", ""monthly_public_price_eur"": 34.64, ""annual_equivalent_public_price_eur"": null}]",[],20.0,USD,17.32,,17.32,pricing page exposes plan tabs; snippet shows Pro at $20 while page view may default to higher Pro+,compare_price_monthly_eur is the normalized monthly comparison price in EUR
github-copilot,GitHub Copilot,ia,ai-general,github.com,https://docs.github.com/en/copilot/get-started/plans,2026-03-13,official_explicit,Pro,seat,True,10.0,USD,monthly_public,10.0,8.66,7.22,7.22,Pro $10/mo or $100/year; Pro+ $39/mo or $390/year,"Comparer Copilot selon IDE usage et premium requests, pas seulement sur le prix.","[{""name"": ""Pro+"", ""monthly_public_price_eur"": 33.78, ""annual_equivalent_public_price_eur"": 28.15}]",[],10.0,USD,8.66,7.22,7.22,Pro $10/mo or $100/year; Pro+ $39/mo or $390/year,compare_price_monthly_eur is the normalized monthly comparison price in EUR
beehiiv,Beehiiv,satellite,email-productivity,beehiiv.com,https://www.beehiiv.com/pricing,2026-03-13,official_explicit,Scale,contact_volume,True,43.0,USD,monthly_public,43.0,37.24,37.31,37.31,Launch free; Scale $43/mo or $517/year,"Ne pas l’aligner naïvement face à Mailchimp/Kit sans prendre en compte abonnés, automations et monétisation.",[],[],43.0,USD,37.24,37.31,37.31,Launch free; Scale $43/mo or $517/year,compare_price_monthly_eur is the normalized monthly comparison price in EUR
