id,slug,category,tool_type,quality_9,has_compare_price,has_source_url,signals,bucket,confidence,reason
pinterest,pinterest,creation,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
fontbase,fontbase,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
lottiefiles,lottiefiles,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
rightfont,rightfont,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
procreate,procreate,creation,metier,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
lucidchart,lucidchart,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
smartsheet,smartsheet,organization,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
adobe-creative-cloud,adobe-creative-cloud,design-tools,metier,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
meltwater,meltwater,marketing,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
cision,cision,marketing,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
prowly,prowly,marketing,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
linkedin-recruiter,linkedin-recruiter,hris-payroll,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
apollo,apollo,organization,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
greenhouse,greenhouse,hris-payroll,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
profitwell,profitwell,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
chartmogul,chartmogul,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
triple-whale,triple-whale,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
microsoft-clarity,microsoft-clarity,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
vwo,vwo,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
optimizely,optimizely,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
bubble,bubble,nocode-web,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
usertesting,usertesting,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
freshservice,freshservice,organization,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
microsoft-defender,microsoft-defender,security,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
crowdstrike,crowdstrike,security,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
drata,drata,security,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
axeptio,axeptio,legal-contracts,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
sweep,sweep,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
sami,sami,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
coupa,coupa,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tiktok-studio,tiktok-studio,communication,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
motion-array,motion-array,creation,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
envato-elements,envato-elements,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
submagic,submagic,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
opusclip,opusclip,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
captions,captions,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tubebuddy,tubebuddy,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
envato,envato,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
storyblocks,storyblocks,creation,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
acast,acast,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
headliner,headliner,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
descript-ai,descript-ai,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
taplio,taplio,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
linkedin,linkedin,communication,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
authoredup,authoredup,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
mailerlite,mailerlite,email-productivity,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
sparkloop,sparkloop,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
rewardful,rewardful,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
planoly,planoly,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
linktree,linktree,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
stan-store,stan-store,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
unfold,unfold,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
billo,billo,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
insense,insense,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
fiverr,fiverr,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
systeme-io,systeme-io,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
thrivecart,thrivecart,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
meta-ads,meta-ads,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tiktok-ads,tiktok-ads,analytics,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
gempages,gempages,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
pagefly,pagefly,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
loox,loox,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
judge-me,judge-me,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
motion,motion,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
adcreative-ai,adcreative-ai,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
partnerstack,partnerstack,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
impact,impact,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
rankmath,rankmath,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
yoast,yoast,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
pretty-links,pretty-links,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
thirstyaffiliates,thirstyaffiliates,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tablepress,tablepress,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
link-whisper,link-whisper,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
shortpixel,shortpixel,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
surfer-ai,surfer-ai,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
nightbot,nightbot,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
elgato,elgato,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
premiere-rush,premiere-rush,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
google-maps,google-maps,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
ltk,ltk,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
shopmy,shopmy,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tiktok,tiktok,communication,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tradingview,tradingview,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
trainerize,trainerize,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
truecoach,truecoach,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
clay,clay,email-productivity,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
wistia,wistia,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
vidyard,vidyard,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
maven,maven,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
product-hunt,product-hunt,communication,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
rev,rev,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
otter,otter,ai-general,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
x,x,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
repurpose-io,repurpose-io,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
patreon,patreon,finance,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
memberful,memberful,creation,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
gmail,gmail,communication,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
google-meet,google-meet,communication,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
whatsapp-business,whatsapp-business,project-management,specialise,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
firecrawl,firecrawl,automation,,7,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
reclaim-ai,reclaim-ai,productivity-tracking,,7,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
skatter,skatter,design-tools,plugin,7,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
safetyculture,safetyculture,organization,specialise,7,true,false,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
condeco,condeco,organization,specialise,7,true,false,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
around,around,communication,specialise,7,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
layout-sketchup,layout-sketchup,design-tools,satellite,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
autocad-lt,autocad-lt,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
archicad,archicad,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
fredo6-bundle,fredo6-bundle,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
joint-push-pull,joint-push-pull,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
fredocorner,fredocorner,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
curviloft,curviloft,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
profile-builder-3,profile-builder-3,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
transmutr,transmutr,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
solid-inspector2,solid-inspector2,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
eneroth-face-creator,eneroth-face-creator,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
1001bit-tools,1001bit-tools,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
flextools,flextools,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
programa,programa,project-management,satellite,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
arena,arena,design-tools,satellite,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
figma-slides,figma-slides,design-tools,metier,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
yousign,yousign,legal-contracts,gestion,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
capcut-templates,capcut-templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
capcut-ai,capcut-ai,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
adobe-enhance-speech,adobe-enhance-speech,ai-general,ia,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
shield,shield,analytics,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
figma-templates,figma-templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
canva-templates,canva-templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
canva-kits,canva-kits,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
mojo,mojo,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
tezza,tezza,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
storyluxe,storyluxe,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
krea,krea,ai-general,ia,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
templates-ugc,templates-ugc,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
teleprompter-apps,teleprompter-apps,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
music-libraries,music-libraries,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
lighting-kits,lighting-kits,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
frame-guides,frame-guides,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
creatoriq,creatoriq,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
utm-builders,utm-builders,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
link-in-bio-tools,link-in-bio-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
affiliate-dashboards,affiliate-dashboards,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
media-kit-templates,media-kit-templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
power-user,power-user,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
gsc,gsc,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
youtube-live,youtube-live,communication,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
overlays,overlays,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
moobot,moobot,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
streamelements-widgets,streamelements-widgets,communication,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
gaming-overlays,gaming-overlays,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
presets,presets,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
map-tools,map-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
recipe-card-templates,recipe-card-templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
templates,templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
link-in-bio,link-in-bio,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
affiliate-tools,affiliate-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
chart-tools,chart-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
screenshot-tools,screenshot-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
newsletter-referral-tools,newsletter-referral-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
workout-templates,workout-templates,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
form-apps,form-apps,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
scheduling-tools,scheduling-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
kling,kling,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
magnific,magnific,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
topaz,topaz,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
comfyui-workflows,comfyui-workflows,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
prompt-libraries,prompt-libraries,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
content-credentials-tools,content-credentials-tools,creation,specialise,6,true,true,"",migrer,medium,"Fiche solide, pricing présent (source à confirmer)"
